,region,article_name,population,rel_proportion
1,AFRICA,119,1265000.0,0.009407114624505929
2,ASIA,316,35041000.0,0.0009018007476955566
3,OCEANIA,63,8950000.0,0.0007039106145251396
4,LATIN AMERICA AND THE CARIBBEAN,76,72000000.0,0.00010555555555555555
5,NORTHERN AMERICA,104,329878000.00000006,3.152680688011931e-05
