,region,article_name,population,coverage
1,AFRICA,6844,384499109000.0,1.7799781169323854e-06
2,LATIN AMERICA AND THE CARIBBEAN,5273,431122658000.0,1.2230857975458111e-06
3,OCEANIA,3127,326482601000.0,9.577845773165718e-07
4,NORTHERN AMERICA,1910,384757372000.0,4.964167392223481e-07
5,ASIA,11691,3686838143000.0,3.1710098318791317e-07
